token	corpus size	all contexts size	frequency	co-frequency	specificity
your	30855	11879	360	303	71.39
my	30855	11879	46	39	9.93
magic	30855	11879	33	30	9.34
hospitalist	30855	11879	43	35	8.05
pediatrician	30855	11879	26	24	7.86
D	30855	11879	131	81	7.48
pediatric	30855	11879	54	40	7.04
M	30855	11879	116	71	6.43
Reviewed	30855	11879	135	80	6.33
bottle	30855	11879	15	15	6.22
holding	30855	11879	36	28	5.82
you	30855	11879	221	118	5.66
their	30855	11879	137	79	5.64
mother	30855	11879	29	23	5.13
DiMaggio	30855	11879	12	12	4.98
month	30855	11879	21	18	4.97
how	30855	11879	33	25	4.91
Dance	30855	11879	18	16	4.87
dance	30855	11879	18	16	4.87
s	30855	11879	358	175	4.86
learning	30855	11879	23	19	4.78
a	30855	11879	638	293	4.73
When	30855	11879	64	41	4.69
mom	30855	11879	25	20	4.62
for	30855	11879	284	140	4.31
sleep	30855	11879	48	32	4.30
do	30855	11879	68	42	4.27
might	30855	11879	39	27	4.14
months	30855	11879	38	26	3.88
playing	30855	11879	15	13	3.79
jump	30855	11879	15	13	3.79
dad	30855	11879	9	9	3.73
explore	30855	11879	9	9	3.73
Put	30855	11879	9	9	3.73
BabyCenter	30855	11879	31	22	3.72
while	30855	11879	31	22	3.72
Dina	30855	11879	12	11	3.69
make	30855	11879	37	25	3.63
can	30855	11879	150	78	3.63
help	30855	11879	57	35	3.62
best	30855	11879	24	18	3.60
after	30855	11879	26	19	3.54
by	30855	11879	234	114	3.48
old	30855	11879	19	15	3.48
parents	30855	11879	34	23	3.40
feeding	30855	11879	21	16	3.38
development	30855	11879	48	30	3.38
to	30855	11879	765	333	3.33
continues	30855	11879	8	8	3.32
schedules	30855	11879	8	8	3.32
breastfeeding	30855	11879	13	11	3.09
image	30855	11879	13	11	3.09
Love	30855	11879	13	11	3.09
helps	30855	11879	13	11	3.09
and	30855	11879	713	309	3.06
How	30855	11879	111	58	2.99
when	30855	11879	46	28	2.96
sleeping	30855	11879	15	12	2.95
skills	30855	11879	15	12	2.95
first	30855	11879	44	27	2.95
Liz	30855	11879	10	9	2.94
Donner	30855	11879	10	9	2.94
things	30855	11879	32	21	2.92
illustration	30855	11879	7	7	2.90
-month-olds	30855	11879	7	7	2.90
will	30855	11879	55	32	2.85
FAAP	30855	11879	19	14	2.79
year	30855	11879	12	10	2.75
standing	30855	11879	12	10	2.75
up	30855	11879	56	32	2.70
learn	30855	11879	27	18	2.69
could	30855	11879	33	21	2.69
if	30855	11879	48	28	2.61
great	30855	11879	9	8	2.57
happy	30855	11879	9	8	2.57
Chandani	30855	11879	16	12	2.56
newborn	30855	11879	42	25	2.55
A	30855	11879	109	55	2.51
tummy	30855	11879	6	6	2.49
Dawn	30855	11879	6	6	2.49
Rosenberg	30855	11879	6	6	2.49
Sample	30855	11879	6	6	2.49
not	30855	11879	49	28	2.45
app	30855	11879	13	10	2.32
birth	30855	11879	13	10	2.32
If	30855	11879	46	26	2.25
crying	30855	11879	29	18	2.25
Why	30855	11879	29	18	2.25
into	30855	11879	29	18	2.25
milestones	30855	11879	29	18	2.25
Shawnté	30855	11879	17	12	2.24
DeZure	30855	11879	17	12	2.24
growth	30855	11879	19	13	2.22
