token	corpus size	all contexts size	frequency	co-frequency	specificity
votre	14063	7153	141	117	15.00
bébé	14063	7153	663	420	11.03
Article	14063	7153	32	32	9.41
mois	14063	7153	74	59	6.72
P	14063	7153	20	20	5.88
details	14063	7153	29	26	5.00
bébés	14063	7153	193	125	4.56
découvre	14063	7153	27	24	4.51
Comment	14063	7153	22	20	4.13
Je	14063	7153	28	24	3.97
View	14063	7153	28	24	3.97
âge	14063	7153	27	23	3.75
Santé	14063	7153	12	12	3.53
tit	14063	7153	12	12	3.53
aider	14063	7153	16	15	3.51
Votre	14063	7153	25	21	3.30
dormir	14063	7153	11	11	3.23
À	14063	7153	24	20	3.08
du	14063	7153	145	91	2.99
sourit	14063	7153	10	10	2.94
parler	14063	7153	12	11	2.46
sommeil	14063	7153	21	17	2.45
nuits	14063	7153	15	13	2.41
avec	14063	7153	84	54	2.39
langage	14063	7153	26	20	2.36
est-ce	14063	7153	8	8	2.35
Lait	14063	7153	8	8	2.35
Diversification	14063	7153	8	8	2.35
tite	14063	7153	8	8	2.35
ans	14063	7153	20	16	2.25
mon	14063	7153	14	12	2.18
conseils	14063	7153	14	12	2.18
Alimentation	14063	7153	7	7	2.06
Biolane	14063	7153	7	7	2.06
comment	14063	7153	16	13	2.00
chambre	14063	7153	10	9	1.95
à	14063	7153	308	170	1.85
de	14063	7153	672	357	1.81
mins	14063	7153	15	12	1.79
endormi	14063	7153	6	6	1.76
IMG	14063	7153	6	6	1.76
Recette	14063	7153	6	6	1.76
Actualités	14063	7153	6	6	1.76
Menu	14063	7153	6	6	1.76
Recettes	14063	7153	6	6	1.76
to	14063	7153	6	6	1.76
surveiller	14063	7153	6	6	1.76
Conseils	14063	7153	6	6	1.76
lecture	14063	7153	12	10	1.73
jeunes	14063	7153	9	8	1.70
tête	14063	7153	9	8	1.70
parle	14063	7153	9	8	1.70
socialisation	14063	7153	9	8	1.70
pour	14063	7153	126	73	1.70
des	14063	7153	164	93	1.69
premiers	14063	7153	17	13	1.68
sur	14063	7153	54	34	1.65
les	14063	7153	280	152	1.61
pourquoi	14063	7153	14	11	1.59
Le	14063	7153	60	37	1.59
santé	14063	7153	11	9	1.52
quatre	14063	7153	11	9	1.52
autour	14063	7153	11	9	1.52
développement	14063	7153	28	19	1.52
possède	14063	7153	5	5	1.47
quoi	14063	7153	5	5	1.47
Langage	14063	7153	5	5	1.47
Que	14063	7153	5	5	1.47
Développement	14063	7153	8	7	1.46
beaucoup	14063	7153	13	10	1.41
social	14063	7153	13	10	1.41
aux	14063	7153	38	24	1.38
apprentissage	14063	7153	15	11	1.33
apprend	14063	7153	10	8	1.31
son	14063	7153	76	43	1.25
Quand	14063	7153	7	6	1.23
jouer	14063	7153	7	6	1.23
émotionnel	14063	7153	7	6	1.23
enfant	14063	7153	36	22	1.20
que	14063	7153	120	64	1.20
sa	14063	7153	44	26	1.18
couleur	14063	7153	4	4	1.17
sortie	14063	7153	4	4	1.17
Coca	14063	7153	4	4	1.17
articles	14063	7153	4	4	1.17
recherche	14063	7153	4	4	1.17
Accueil	14063	7153	4	4	1.17
Chez	14063	7153	4	4	1.17
connaissances	14063	7153	4	4	1.17
semblent	14063	7153	4	4	1.17
langues	14063	7153	4	4	1.17
Age	14063	7153	4	4	1.17
Accouchement	14063	7153	4	4	1.17
préparation	14063	7153	4	4	1.17
Univers	14063	7153	4	4	1.17
Allaitement	14063	7153	4	4	1.17
Sevrage	14063	7153	4	4	1.17
Repas	14063	7153	4	4	1.17
menu	14063	7153	4	4	1.17
Engagés	14063	7153	4	4	1.17
important	14063	7153	4	4	1.17
doit-il	14063	7153	4	4	1.17
Exploration	14063	7153	4	4	1.17
découvrez	14063	7153	4	4	1.17
éveiller	14063	7153	4	4	1.17
Avant	14063	7153	4	4	1.17
Nidal	14063	7153	4	4	1.17
Lactés	14063	7153	4	4	1.17
Laitages	14063	7153	4	4	1.17
Céréale	14063	7153	4	4	1.17
Souper	14063	7153	4	4	1.17
Grossesse	14063	7153	4	4	1.17
Chambre	14063	7153	4	4	1.17
première	14063	7153	14	10	1.17
cet	14063	7153	14	10	1.17
ses	14063	7153	64	36	1.16
quel	14063	7153	9	7	1.12
lit	14063	7153	9	7	1.12
faire	14063	7153	39	23	1.11
Submit	14063	7153	18	12	1.11
ont	14063	7153	24	15	1.06
pouvez	14063	7153	11	8	1.06
si	14063	7153	30	18	1.05
vos	14063	7153	13	9	1.02
communiquer	14063	7153	13	9	1.02
chez	14063	7153	15	10	1.00
terme	14063	7153	6	5	1.00
arrivée	14063	7153	6	5	1.00
signifie	14063	7153	6	5	1.00
montré	14063	7153	6	5	1.00
capables	14063	7153	6	5	1.00
plusieurs	14063	7153	6	5	1.00
lorsque	14063	7153	6	5	1.00
apprendre	14063	7153	6	5	1.00
logo	14063	7153	6	5	1.00
connectés	14063	7153	6	5	1.00
nounou	14063	7153	6	5	1.00
garde	14063	7153	6	5	1.00
qui	14063	7153	57	29	0.98
six	14063	7153	8	6	0.93
A	14063	7153	8	6	0.93
pleure	14063	7153	8	6	0.93
besoins	14063	7153	8	6	0.93
Découvrez	14063	7153	8	6	0.93
semaine	14063	7153	8	6	0.93
jeu	14063	7153	8	6	0.93
enfants	14063	7153	28	16	0.92
prénom	14063	7153	10	7	0.90
comprendre	14063	7153	10	7	0.90
déjà	14063	7153	10	7	0.90
fait	14063	7153	20	12	0.89
grâce	14063	7153	12	8	0.89
parents	14063	7153	16	10	0.88
Dans	14063	7153	14	9	0.88
Image	14063	7153	3	3	0.88
désigner	14063	7153	3	3	0.88
nés	14063	7153	3	3	0.88
Guide	14063	7153	3	3	0.88
donnés	14063	7153	3	3	0.88
comprennent	14063	7153	3	3	0.88
mouvements	14063	7153	3	3	0.88
informations	14063	7153	3	3	0.88
contrôle	14063	7153	3	3	0.88
ici	14063	7153	3	3	0.88
oculométrie	14063	7153	3	3	0.88
information	14063	7153	3	3	0.88
Qu	14063	7153	3	3	0.88
vue	14063	7153	3	3	0.88
interaction	14063	7153	3	3	0.88
membre	14063	7153	3	3	0.88
difficile	14063	7153	3	3	0.88
pensent	14063	7153	3	3	0.88
réponses	14063	7153	3	3	0.88
simplement	14063	7153	3	3	0.88
participant	14063	7153	3	3	0.88
adapté	14063	7153	3	3	0.88
Durant	14063	7153	3	3	0.88
Entre	14063	7153	3	3	0.88
encourager	14063	7153	3	3	0.88
compagnon	14063	7153	3	3	0.88
apaiser	14063	7153	3	3	0.88
berceuses	14063	7153	3	3	0.88
choisir	14063	7153	3	3	0.88
Evolution	14063	7153	3	3	0.88
Comprendre	14063	7153	3	3	0.88
joue	14063	7153	3	3	0.88
passera	14063	7153	3	3	0.88
jalons	14063	7153	3	3	0.88
manifester	14063	7153	3	3	0.88
parlant	14063	7153	3	3	0.88
Ma	14063	7153	3	3	0.88
idées	14063	7153	3	3	0.88
Nourrir	14063	7153	3	3	0.88
maman	14063	7153	3	3	0.88
parking	14063	7153	3	3	0.88
toilette	14063	7153	3	3	0.88
sexe	14063	7153	3	3	0.88
transforme	14063	7153	3	3	0.88
peut	14063	7153	29	15	0.83
cerveau	14063	7153	19	11	0.82
attention	14063	7153	17	10	0.81
peu	14063	7153	5	4	0.78
ceux	14063	7153	5	4	0.78
Partager	14063	7153	5	4	0.78
quelle	14063	7153	5	4	0.78
parce	14063	7153	5	4	0.78
éveil	14063	7153	5	4	0.78
laisse	14063	7153	5	4	0.78
soir	14063	7153	5	4	0.78
Chaque	14063	7153	5	4	0.78
lance	14063	7153	5	4	0.78
va	14063	7153	13	8	0.78
très	14063	7153	13	8	0.78
signes	14063	7153	13	8	0.78
année	14063	7153	11	7	0.77
dès	14063	7153	11	7	0.77
La	14063	7153	21	11	0.77
Nos	14063	7153	9	6	0.76
prénoms	14063	7153	7	5	0.76
écran	14063	7153	7	5	0.76
endormir	14063	7153	7	5	0.76
mode	14063	7153	7	5	0.76
vie	14063	7153	20	10	0.75
savoir	14063	7153	19	10	0.75
Si	14063	7153	14	8	0.72
nous	14063	7153	16	8	0.71
ils	14063	7153	16	8	0.71
fois	14063	7153	16	8	0.71
Bébés	14063	7153	15	8	0.70
effet	14063	7153	12	7	0.70
petit	14063	7153	12	7	0.70
naissance	14063	7153	10	6	0.67
encore	14063	7153	13	7	0.67
Vous	14063	7153	12	6	0.65
pleurs	14063	7153	12	6	0.65
sait	14063	7153	8	5	0.65
nouveaux	14063	7153	8	5	0.65
soit	14063	7153	8	5	0.65
peur	14063	7153	8	5	0.65
berceau	14063	7153	8	5	0.65
premier	14063	7153	11	6	0.64
deux	14063	7153	11	6	0.64
groupe	14063	7153	11	6	0.64
apprennent	14063	7153	6	4	0.62
rôle	14063	7153	6	4	0.62
capacités	14063	7153	6	4	0.62
permet	14063	7153	6	4	0.62
capable	14063	7153	6	4	0.62
avons	14063	7153	6	4	0.62
marques	14063	7153	6	4	0.62
quotidien	14063	7153	6	4	0.62
crèche	14063	7153	6	4	0.62
durée	14063	7153	6	4	0.62
commence	14063	7153	6	4	0.62
intérêt	14063	7153	6	4	0.62
mesure	14063	7153	10	5	0.61
Par	14063	7153	10	5	0.61
communication	14063	7153	10	5	0.61
avant	14063	7153	9	5	0.60
car	14063	7153	9	5	0.60
famille	14063	7153	9	5	0.60
sera	14063	7153	9	5	0.60
retrouve	14063	7153	4	3	0.59
publicité	14063	7153	4	3	0.59
