token	corpus size	all contexts size	frequency	co-frequency	specificity
с	12609	5836	220	137	6.26
и	12609	5836	480	269	5.56
молодежи	12609	5836	15	15	5.02
иметь	12609	5836	12	12	4.02
хотел	12609	5836	11	11	3.68
ВИЧ	12609	5836	10	10	3.35
объяснил	12609	5836	9	9	3.01
до	12609	5836	38	27	2.93
для	12609	5836	94	57	2.78
Воспитание	12609	5836	8	8	2.68
Шура	12609	5836	8	8	2.68
IMG	12609	5836	24	18	2.52
Всегда	12609	5836	7	7	2.34
возраста	12609	5836	18	14	2.28
семью	12609	5836	12	10	2.07
берутся	12609	5836	6	6	2.01
Кузбассе	12609	5836	6	6	2.01
лет	12609	5836	36	23	1.84
больше	12609	5836	16	12	1.84
более	12609	5836	11	9	1.81
своих	12609	5836	11	9	1.81
г	12609	5836	8	7	1.71
О	12609	5836	13	10	1.70
почему	12609	5836	13	10	1.70
взрослых	12609	5836	22	15	1.68
направленных	12609	5836	5	5	1.67
Уход	12609	5836	5	5	1.67
ДЕТИ	12609	5836	5	5	1.67
отношении	12609	5836	5	5	1.67
о	12609	5836	77	43	1.65
помощь	12609	5836	15	11	1.63
могут	12609	5836	15	11	1.63
семьи	12609	5836	17	12	1.57
педагоги	12609	5836	10	8	1.56
Для	12609	5836	27	17	1.46
родителей	12609	5836	31	19	1.45
в	12609	5836	322	155	1.45
которые	12609	5836	35	21	1.44
мест	12609	5836	7	6	1.43
инвалидностью	12609	5836	7	6	1.43
мужчины	12609	5836	7	6	1.43
развития	12609	5836	18	12	1.37
имеют	12609	5836	20	13	1.35
раннего	12609	5836	4	4	1.34
программ	12609	5836	4	4	1.34
Более	12609	5836	4	4	1.34
заболеваниями	12609	5836	4	4	1.34
Родителям	12609	5836	4	4	1.34
Помощь	12609	5836	4	4	1.34
взрослым	12609	5836	4	4	1.34
постановил	12609	5836	4	4	1.34
пространство	12609	5836	4	4	1.34
Вчера	12609	5836	4	4	1.34
блогера	12609	5836	4	4	1.34
несовершеннолетними	12609	5836	4	4	1.34
откуда	12609	5836	4	4	1.34
избили	12609	5836	4	4	1.34
взрослые	12609	5836	9	7	1.33
которых	12609	5836	9	7	1.33
