token	corpus size	all contexts size	frequency	co-frequency	specificity
your	98446	11949	631	303	108.77
baby	98446	11949	724	239	48.69
hospitalist	98446	11949	54	35	18.88
pediatric	98446	11949	78	40	16.36
s	98446	11949	784	173	14.68
sleep	98446	11949	59	32	14.15
their	98446	11949	265	79	14.00
magic	98446	11949	60	32	13.88
can	98446	11949	260	77	13.51
When	98446	11949	99	42	13.47
pediatrician	98446	11949	37	24	13.17
D	98446	11949	285	81	13.10
Your	98446	11949	194	62	12.65
Reviewed	98446	11949	285	79	12.19
a	98446	11949	1620	292	11.92
M	98446	11949	249	71	11.68
learning	98446	11949	28	19	11.07
might	98446	11949	54	27	10.96
babies	98446	11949	160	51	10.53
bottle	98446	11949	19	15	10.38
do	98446	11949	115	41	10.30
newborn	98446	11949	50	25	10.21
holding	98446	11949	62	28	10.02
development	98446	11949	77	31	9.48
How	98446	11949	209	58	9.23
DiMaggio	98446	11949	15	12	8.50
mother	98446	11949	51	23	8.35
language	98446	11949	40	20	8.31
Put	98446	11949	9	9	8.24
feeding	98446	11949	30	17	8.23
help	98446	11949	104	35	8.18
to	98446	11949	2064	333	7.93
jump	98446	11949	19	13	7.81
you	98446	11949	592	118	7.73
Dina	98446	11949	14	11	7.68
my	98446	11949	129	39	7.57
schedules	98446	11949	8	8	7.33
could	98446	11949	55	22	6.89
mom	98446	11949	43	19	6.85
Shawnté	98446	11949	19	12	6.68
skills	98446	11949	19	12	6.68
crying	98446	11949	41	18	6.48
growth	98446	11949	23	13	6.41
parents	98446	11949	64	23	6.21
dad	98446	11949	12	9	6.07
Chandani	98446	11949	21	12	6.03
standing	98446	11949	18	11	5.97
bath	98446	11949	22	12	5.74
DeZure	98446	11949	22	12	5.74
breastfeeding	98446	11949	19	11	5.65
back	98446	11949	46	18	5.61
or	98446	11949	402	80	5.56
things	98446	11949	60	21	5.53
Sample	98446	11949	6	6	5.50
lying	98446	11949	23	12	5.48
milestones	98446	11949	47	18	5.46
how	98446	11949	80	25	5.43
FAAP	98446	11949	31	14	5.36
learn	98446	11949	44	17	5.25
sleeping	98446	11949	24	12	5.23
explore	98446	11949	14	9	5.22
months	98446	11949	88	26	5.14
neonatal	98446	11949	21	11	5.09
helps	98446	11949	21	11	5.09
dance	98446	11949	41	16	5.05
first	98446	11949	100	28	5.00
guy	98446	11949	9	7	4.97
while	98446	11949	75	23	4.92
Why	98446	11949	51	18	4.90
Newborn	98446	11949	42	16	4.90
old	98446	11949	38	15	4.84
head	98446	11949	81	24	4.83
Baby	98446	11949	429	81	4.80
If	98446	11949	92	26	4.77
use	98446	11949	57	19	4.74
Dawn	98446	11949	7	6	4.71
Rosenberg	98446	11949	7	6	4.71
spell	98446	11949	7	6	4.71
if	98446	11949	99	27	4.63
term	98446	11949	31	13	4.60
with	98446	11949	660	114	4.60
swaddled	98446	11949	5	5	4.58
shower	98446	11949	5	5	4.58
dry	98446	11949	5	5	4.58
Slap	98446	11949	5	5	4.58
Donner	98446	11949	16	9	4.58
by	98446	11949	661	114	4.57
up	98446	11949	128	32	4.54
best	98446	11949	54	18	4.52
roll	98446	11949	10	7	4.50
likely	98446	11949	13	8	4.50
Liz	98446	11949	17	9	4.31
By	98446	11949	110	28	4.22
need	98446	11949	52	17	4.20
Guy	98446	11949	14	8	4.19
tummy	98446	11949	8	6	4.16
Mom	98446	11949	8	6	4.16
comfortable	98446	11949	8	6	4.16
