token	corpus size	all contexts size	frequency	co-frequency	specificity
bébé	118316	10762	686	301	127.85
votre	118316	10762	413	132	38.26
mois	118316	10762	254	96	34.76
découvre	118316	10762	38	27	19.50
details	118316	10762	38	27	19.50
âge	118316	10762	154	52	16.80
Diversification	118316	10762	20	18	16.55
View	118316	10762	42	26	16.52
Bébé	118316	10762	176	54	15.37
quel	118316	10762	39	23	14.04
mins	118316	10762	40	23	13.71
Comment	118316	10762	102	36	12.55
nuits	118316	10762	17	14	11.87
Votre	118316	10762	49	23	11.26
peut-on	118316	10762	14	12	10.62
lecture	118316	10762	77	28	10.30
À	118316	10762	109	34	10.22
faire	118316	10762	165	40	8.29
P	118316	10762	51	20	8.22
avec	118316	10762	424	75	7.94
pour	118316	10762	908	133	7.79
sommeil	118316	10762	76	24	7.57
Lait	118316	10762	9	8	7.42
sourit	118316	10762	9	8	7.42
dormir	118316	10762	21	12	7.40
aider	118316	10762	42	17	7.33
Biolane	118316	10762	10	8	6.76
son	118316	10762	382	66	6.74
Pourquoi	118316	10762	24	12	6.56
Je	118316	10762	116	29	6.54
chambre	118316	10762	17	10	6.41
pleure	118316	10762	21	11	6.32
laisser	118316	10762	14	9	6.28
nordiques	118316	10762	6	6	6.25
font-ils	118316	10762	11	8	6.24
langage	118316	10762	96	25	6.10
Parents	118316	10762	22	11	6.06
que	118316	10762	618	92	6.02
conseils	118316	10762	62	19	5.93
de	118316	10762	5140	558	5.89
tit	118316	10762	27	12	5.88
quelle	118316	10762	19	10	5.82
Chambre	118316	10762	9	7	5.82
Alimentation	118316	10762	58	18	5.75
pleurs	118316	10762	76	21	5.68
ses	118316	10762	259	47	5.65
comment	118316	10762	60	18	5.52
bain	118316	10762	7	6	5.44
Accouchement	118316	10762	13	8	5.43
communiquer	118316	10762	17	9	5.32
éveil	118316	10762	14	8	5.10
Sommeil	118316	10762	11	7	4.94
Envie	118316	10762	8	6	4.88
quatre	118316	10762	20	9	4.60
photos	118316	10762	20	9	4.60
surveiller	118316	10762	12	7	4.60
tite	118316	10762	16	8	4.55
Eveil	118316	10762	6	5	4.47
malentendu	118316	10762	6	5	4.47
infantiles	118316	10762	9	6	4.45
sieste	118316	10762	13	7	4.30
naissance	118316	10762	54	15	4.30
attention	118316	10762	43	13	4.22
endormi	118316	10762	4	4	4.16
Engagés	118316	10762	4	4	4.16
doit-il	118316	10762	4	4	4.16
Laitages	118316	10762	4	4	4.16
Pleurs	118316	10762	4	4	4.16
astuces	118316	10762	10	6	4.09
Atelier	118316	10762	10	6	4.09
Conseils	118316	10762	33	11	4.08
apprend	118316	10762	14	7	4.04
premiers	118316	10762	51	14	4.00
réussir	118316	10762	7	5	3.97
besoins	118316	10762	19	8	3.91
se	118316	10762	350	52	3.84
parler	118316	10762	35	11	3.83
nounou	118316	10762	15	7	3.81
commencer	118316	10762	15	7	3.81
Allaitement	118316	10762	11	6	3.79
Recette	118316	10762	11	6	3.79
endormir	118316	10762	8	5	3.58
Montessori	118316	10762	8	5	3.58
pause	118316	10762	8	5	3.58
A	118316	10762	90	19	3.57
les	118316	10762	1901	212	3.55
laisse	118316	10762	12	6	3.53
Que	118316	10762	32	10	3.51
Santé	118316	10762	113	22	3.51
Coca	118316	10762	5	4	3.51
Age	118316	10762	5	4	3.51
Sevrage	118316	10762	5	4	3.51
Exploration	118316	10762	5	4	3.51
apaiser	118316	10762	5	4	3.51
tête	118316	10762	39	11	3.39
émotionnel	118316	10762	28	9	3.32
signifie	118316	10762	9	5	3.27
capables	118316	10762	9	5	3.27
Repas	118316	10762	9	5	3.27
Avant	118316	10762	9	5	3.27
Comprendre	118316	10762	9	5	3.27
préparer	118316	10762	9	5	3.27
peur	118316	10762	23	8	3.26
lit	118316	10762	18	7	3.24
socialisation	118316	10762	24	8	3.13
oculométrie	118316	10762	3	3	3.12
berceuses	118316	10762	3	3	3.12
Evolution	118316	10762	3	3	3.12
Laits	118316	10762	3	3	3.12
Petits	118316	10762	3	3	3.12
Premières	118316	10762	3	3	3.12
transforme	118316	10762	3	3	3.12
emmailloter	118316	10762	3	3	3.12
casino	118316	10762	3	3	3.12
amusent	118316	10762	3	3	3.12
printanières	118316	10762	3	3	3.12
tape	118316	10762	3	3	3.12
marques	118316	10762	14	6	3.10
dehors	118316	10762	14	6	3.10
arrivée	118316	10762	19	7	3.08
Biscuit	118316	10762	6	4	3.07
conversations	118316	10762	6	4	3.07
lance	118316	10762	6	4	3.07
voiture	118316	10762	6	4	3.07
Quand	118316	10762	25	8	3.00
prénoms	118316	10762	37	10	2.99
Recettes	118316	10762	15	6	2.92
autour	118316	10762	32	9	2.88
produits	118316	10762	39	10	2.81
alimentaire	118316	10762	21	7	2.80
bébés	118316	10762	145	24	2.80
Nestlé	118316	10762	11	5	2.79
Maman	118316	10762	11	5	2.79
découvrez	118316	10762	11	5	2.79
Être	118316	10762	11	5	2.79
Produits	118316	10762	16	6	2.76
né	118316	10762	7	4	2.74
éveiller	118316	10762	7	4	2.74
Peut-on	118316	10762	7	4	2.74
signes	118316	10762	28	8	2.67
chez	118316	10762	150	24	2.62
capable	118316	10762	17	6	2.61
Article	118316	10762	302	41	2.58
semaine	118316	10762	29	8	2.57
gel	118316	10762	4	3	2.56
populaire	118316	10762	4	3	2.56
top	118316	10762	4	3	2.56
Grâce	118316	10762	4	3	2.56
jalons	118316	10762	4	3	2.56
Nourrir	118316	10762	4	3	2.56
Bosch	118316	10762	4	3	2.56
reconnaît	118316	10762	4	3	2.56
neurobiologie	118316	10762	4	3	2.56
Par	118316	10762	36	9	2.52
couleur	118316	10762	8	4	2.49
possède	118316	10762	8	4	2.49
connectés	118316	10762	8	4	2.49
Nidal	118316	10762	8	4	2.49
Lactés	118316	10762	8	4	2.49
Céréale	118316	10762	8	4	2.49
Souper	118316	10762	8	4	2.49
Quelle	118316	10762	8	4	2.49
stimulus	118316	10762	8	4	2.49
Découvrez	118316	10762	30	8	2.47
garde	118316	10762	30	8	2.47
est-ce	118316	10762	37	9	2.44
montré	118316	10762	13	5	2.43
berceau	118316	10762	13	5	2.43
car	118316	10762	44	10	2.43
sa	118316	10762	283	38	2.39
Accueil	118316	10762	31	8	2.39
Actualités	118316	10762	38	9	2.36
social	118316	10762	75	14	2.35
du	118316	10762	1110	121	2.32
Plus	118316	10762	46	10	2.29
à	118316	10762	2400	244	2.28
charge	118316	10762	14	5	2.28
logo	118316	10762	9	4	2.27
préparation	118316	10762	9	4	2.27
Univers	118316	10762	9	4	2.27
propreté	118316	10762	9	4	2.27
parle	118316	10762	26	7	2.26
première	118316	10762	54	11	2.25
pouvez	118316	10762	33	8	2.22
Développement	118316	10762	70	13	2.22
adapté	118316	10762	5	3	2.21
Entre	118316	10762	5	3	2.21
encourager	118316	10762	5	3	2.21
exprimera	118316	10762	5	3	2.21
Acquisition	118316	10762	5	3	2.21
tenues	118316	10762	5	3	2.21
Ping	118316	10762	5	3	2.21
stimuli	118316	10762	5	3	2.21
ressent	118316	10762	5	3	2.21
regard	118316	10762	34	8	2.15
parent	118316	10762	34	8	2.15
cet	118316	10762	56	11	2.14
apprendre	118316	10762	21	6	2.13
aux	118316	10762	297	38	2.12
si	118316	10762	114	18	2.11
sortie	118316	10762	10	4	2.09
puériculture	118316	10762	10	4	2.09
chercheurs	118316	10762	28	7	2.08
soins	118316	10762	28	7	2.08
now	118316	10762	2	2	2.08
cote	118316	10762	2	2	2.08
brique	118316	10762	2	2	2.08
concentre	118316	10762	2	2	2.08
bracelets	118316	10762	2	2	2.08
poignet	118316	10762	2	2	2.08
clown	118316	10762	2	2	2.08
testés	118316	10762	2	2	2.08
remettre	118316	10762	2	2	2.08
formidables	118316	10762	2	2	2.08
participant	118316	10762	2	2	2.08
régaler	118316	10762	2	2	2.08
gammes	118316	10762	2	2	2.08
pensés	118316	10762	2	2	2.08
blue	118316	10762	2	2	2.08
register	118316	10762	2	2	2.08
add	118316	10762	2	2	2.08
sociable	118316	10762	2	2	2.08
sociabiliser	118316	10762	2	2	2.08
IL	118316	10762	2	2	2.08
ptit-souper-berceuse	118316	10762	2	2	2.08
ptit-souper-bebe-fait-ses-nuits	118316	10762	2	2	2.08
Apprenez	118316	10762	2	2	2.08
Garde	118316	10762	2	2	2.08
Céréales	118316	10762	2	2	2.08
Plats	118316	10762	2	2	2.08
Biberon	118316	10762	2	2	2.08
pédagogies	118316	10762	2	2	2.08
PODCAST	118316	10762	2	2	2.08
Éveillons-nous	118316	10762	2	2	2.08
multisensoriel	118316	10762	2	2	2.08
passera	118316	10762	2	2	2.08
manifestera	118316	10762	2	2	2.08
prêtez	118316	10762	2	2	2.08
Premier	118316	10762	2	2	2.08
hyperémotif	118316	10762	2	2	2.08
coordonner	118316	10762	2	2	2.08
éprouvera	118316	10762	2	2	2.08
nourrice	118316	10762	2	2	2.08
gardé	118316	10762	2	2	2.08
déplacer	118316	10762	2	2	2.08
Prêt	118316	10762	2	2	2.08
year	118316	10762	2	2	2.08
McDo	118316	10762	2	2	2.08
surnomme	118316	10762	2	2	2.08
toilette	118316	10762	2	2	2.08
Havea	118316	10762	2	2	2.08
ABONNER	118316	10762	2	2	2.08
faciliter	118316	10762	2	2	2.08
délivre	118316	10762	2	2	2.08
consultables	118316	10762	2	2	2.08
Momes	118316	10762	2	2	2.08
Pause	118316	10762	2	2	2.08
coiffant	118316	10762	2	2	2.08
Dents	118316	10762	2	2	2.08
Otoplastie	118316	10762	2	2	2.08
Fente	118316	10762	2	2	2.08
labio-palatine	118316	10762	2	2	2.08
céréales	118316	10762	2	2	2.08
Chou-fleur	118316	10762	2	2	2.08
Intolérance	118316	10762	2	2	2.08
gluten	118316	10762	2	2	2.08
cœliaque	118316	10762	2	2	2.08
fabriquer	118316	10762	2	2	2.08
nettoyante	118316	10762	2	2	2.08
bradycardies	118316	10762	2	2	2.08
Tuto	118316	10762	2	2	2.08
sourit-il	118316	10762	2	2	2.08
hypoallergénique	118316	10762	2	2	2.08
responsabiliser	118316	10762	2	2	2.08
palmarès	118316	10762	2	2	2.08
Etoiles	118316	10762	2	2	2.08
Cosméto	118316	10762	2	2	2.08
gaufres	118316	10762	2	2	2.08
participez	118316	10762	2	2	2.08
roter	118316	10762	2	2	2.08
séance	118316	10762	2	2	2.08
regardent	118316	10762	2	2	2.08
anastasia	118316	10762	2	2	2.08
shuraeva	118316	10762	2	2	2.08
parHéloïse	118316	10762	2	2	2.08
dansémotions	118316	10762	2	2	2.08
UncategorizedÉtiquettes	118316	10762	2	2	2.08
pleuraient	118316	10762	2	2	2.08
occidentaux	118316	10762	2	2	2.08
réagit	118316	10762	2	2	2.08
parlés	118316	10762	2	2	2.08
rejette	118316	10762	2	2	2.08
autoritaire	118316	10762	2	2	2.08
régressifs	118316	10762	2	2	2.08
abréviation	118316	10762	2	2	2.08
kits	118316	10762	2	2	2.08
vinyle	118316	10762	2	2	2.08
Bébés	118316	10762	22	6	2.04
prématuré	118316	10762	16	5	2.02
petit	118316	10762	83	14	2.01
Soins	118316	10762	29	7	2.01
prénom	118316	10762	51	10	2.00
articles	118316	10762	44	9	1.97
entourent	118316	10762	6	3	1.95
lumière	118316	10762	6	3	1.95
distance	118316	10762	6	3	1.95
pensent	118316	10762	6	3	1.95
niveaux	118316	10762	6	3	1.95
manifester	118316	10762	6	3	1.95
Activités	118316	10762	6	3	1.95
internautes	118316	10762	6	3	1.95
Chouchou	118316	10762	11	4	1.94
menu	118316	10762	11	4	1.94
Top	118316	10762	17	5	1.91
dès	118316	10762	38	8	1.88
il	118316	10762	442	51	1.87
mesure	118316	10762	24	6	1.86
Mon	118316	10762	254	32	1.86
Grossesse	118316	10762	31	7	1.86
porte	118316	10762	18	5	1.81
répondre	118316	10762	18	5	1.81
alimentation	118316	10762	18	5	1.81
an	118316	10762	55	10	1.81
parents	118316	10762	152	21	1.81
mouvements	118316	10762	12	4	1.80
Chez	118316	10762	12	4	1.80
interaction	118316	10762	12	4	1.80
prématurés	118316	10762	12	4	1.80
durée	118316	10762	12	4	1.80
garçon	118316	10762	12	4	1.80
un	118316	10762	1173	120	1.80
effet	118316	10762	32	7	1.80
