token	corpus size	all contexts size	frequency	co-frequency	specificity
молодежи	61983	6023	15	15	15.19
и	61983	6023	1702	267	14.89
с	61983	6023	720	136	13.68
хотел	61983	6023	14	11	8.71
объяснил	61983	6023	10	9	8.16
взрослых	61983	6023	30	15	7.67
Всегда	61983	6023	7	7	7.09
Шура	61983	6023	10	8	6.54
иметь	61983	6023	23	12	6.51
ВИЧ	61983	6023	13	9	6.44
берутся	61983	6023	6	6	6.08
возраста	61983	6023	31	13	5.65
имеют	61983	6023	28	12	5.38
семью	61983	6023	20	10	5.30
инвалидностью	61983	6023	7	6	5.27
педагоги	61983	6023	13	8	5.21
проектов	61983	6023	10	7	5.14
направленных	61983	6023	5	5	5.06
родителей	61983	6023	62	18	4.92
Семья	61983	6023	14	8	4.89
родители	61983	6023	52	16	4.79
которые	61983	6023	88	22	4.73
Кузбассе	61983	6023	8	6	4.72
мы	61983	6023	60	17	4.54
должны	61983	6023	44	14	4.45
мест	61983	6023	12	7	4.41
Воспитание	61983	6023	16	8	4.35
о	61983	6023	253	44	4.25
блогера	61983	6023	4	4	4.05
несовершеннолетними	61983	6023	4	4	4.05
откуда	61983	6023	4	4	4.05
до	61983	6023	140	28	3.98
мужчины	61983	6023	10	6	3.93
взрослые	61983	6023	14	7	3.86
своих	61983	6023	23	9	3.82
детей	61983	6023	221	38	3.71
Для	61983	6023	83	19	3.67
почему	61983	6023	29	10	3.67
которых	61983	6023	15	7	3.63
для	61983	6023	378	57	3.60
лет	61983	6023	143	27	3.47
деятельности	61983	6023	16	7	3.43
ДЕТИ	61983	6023	5	4	3.40
заболеваниями	61983	6023	5	4	3.40
избили	61983	6023	5	4	3.40
руках	61983	6023	13	6	3.15
называют	61983	6023	3	3	3.04
значимыми	61983	6023	3	3	3.04
молодежь	61983	6023	3	3	3.04
разработаны	61983	6023	3	3	3.04
семьями	61983	6023	3	3	3.04
Опрос	61983	6023	3	3	3.04
удовлетворенности	61983	6023	3	3	3.04
добро	61983	6023	3	3	3.04
сажать	61983	6023	3	3	3.04
жена	61983	6023	3	3	3.04
других	61983	6023	29	9	3.00
Родителям	61983	6023	6	4	2.96
особенностями	61983	6023	6	4	2.96
входят	61983	6023	6	4	2.96
семей	61983	6023	14	6	2.95
Уход	61983	6023	10	5	2.88
те	61983	6023	10	5	2.88
могут	61983	6023	43	11	2.80
Помочь	61983	6023	15	6	2.78
физического	61983	6023	7	4	2.64
Наша	61983	6023	7	4	2.64
Женщина	61983	6023	7	4	2.64
вести	61983	6023	16	6	2.62
больше	61983	6023	53	12	2.55
неврологии	61983	6023	4	3	2.48
социально	61983	6023	4	3	2.48
педагогов	61983	6023	4	3	2.48
качеством	61983	6023	4	3	2.48
Мнения	61983	6023	4	3	2.48
местного	61983	6023	4	3	2.48
могли	61983	6023	4	3	2.48
рождением	61983	6023	4	3	2.48
папы	61983	6023	4	3	2.48
Муж	61983	6023	4	3	2.48
Консультанты	61983	6023	4	3	2.48
в	61983	6023	1417	162	2.48
помощь	61983	6023	48	11	2.43
наука	61983	6023	8	4	2.38
поддержку	61983	6023	8	4	2.38
Помощь	61983	6023	8	4	2.38
Вера	61983	6023	8	4	2.38
дневного	61983	6023	8	4	2.38
Очень	61983	6023	8	4	2.38
семьи	61983	6023	49	11	2.36
говорить	61983	6023	30	8	2.31
Права	61983	6023	13	5	2.31
Как	61983	6023	96	17	2.23
воспитания	61983	6023	19	6	2.22
защите	61983	6023	9	4	2.17
всей	61983	6023	9	4	2.17
женщину	61983	6023	9	4	2.17
зрения	61983	6023	9	4	2.17
Нужно	61983	6023	9	4	2.17
сами	61983	6023	9	4	2.17
взрослым	61983	6023	9	4	2.17
Life	61983	6023	9	4	2.17
быть	61983	6023	82	15	2.16
эта	61983	6023	5	3	2.13
делаем	61983	6023	5	3	2.13
Исследования	61983	6023	5	3	2.13
очно	61983	6023	5	3	2.13
особенных	61983	6023	5	3	2.13
самоуправления	61983	6023	5	3	2.13
пособия	61983	6023	5	3	2.13
сексе	61983	6023	5	3	2.13
возрасте	61983	6023	40	9	2.05
у	61983	6023	159	24	2.05
отношении	61983	6023	15	5	2.03
II	61983	6023	2	2	2.02
принято	61983	6023	2	2	2.02
веке	61983	6023	2	2	2.02
Европы	61983	6023	2	2	2.02
домов	61983	6023	2	2	2.02
отмечается	61983	6023	2	2	2.02
навязчивое	61983	6023	2	2	2.02
Дополнительные	61983	6023	2	2	2.02
методов	61983	6023	2	2	2.02
длина	61983	6023	2	2	2.02
теломер	61983	6023	2	2	2.02
порнографии	61983	6023	2	2	2.02
Ю	61983	6023	2	2	2.02
Приключения	61983	6023	2	2	2.02
Фэнтези	61983	6023	2	2	2.02
меньшинств	61983	6023	2	2	2.02
Кормление	61983	6023	2	2	2.02
досуга	61983	6023	2	2	2.02
посещают	61983	6023	2	2	2.02
вклада	61983	6023	2	2	2.02
Роза	61983	6023	2	2	2.02
ветров	61983	6023	2	2	2.02
тяжёлыми	61983	6023	2	2	2.02
множественными	61983	6023	2	2	2.02
Сопровождение	61983	6023	2	2	2.02
выбирают	61983	6023	2	2	2.02
дошкольного	61983	6023	2	2	2.02
тяжелобольных	61983	6023	2	2	2.02
повод	61983	6023	2	2	2.02
множилось	61983	6023	2	2	2.02
получили	61983	6023	2	2	2.02
прожить	61983	6023	2	2	2.02
Авто	61983	6023	2	2	2.02
Инфографика	61983	6023	2	2	2.02
преподавать	61983	6023	2	2	2.02
уж	61983	6023	2	2	2.02
троих	61983	6023	2	2	2.02
положения	61983	6023	2	2	2.02
попавших	61983	6023	2	2	2.02
физическими	61983	6023	2	2	2.02
психическими	61983	6023	2	2	2.02
недостатками	61983	6023	2	2	2.02
защитой	61983	6023	2	2	2.02
запрещает	61983	6023	2	2	2.02
бесплатное	61983	6023	2	2	2.02
учреждениях	61983	6023	2	2	2.02
родившихся	61983	6023	2	2	2.02
Переписывался	61983	6023	2	2	2.02
неуместных	61983	6023	2	2	2.02
переписках	61983	6023	2	2	2.02
передает	61983	6023	2	2	2.02
Tengrinews	61983	6023	2	2	2.02
зафиксировали	61983	6023	2	2	2.02
крестницу	61983	6023	2	2	2.02
Проблема	61983	6023	2	2	2.02
здоровых	61983	6023	2	2	2.02
Стас	61983	6023	2	2	2.02
Михайлов	61983	6023	2	2	2.02
сопровождающими	61983	6023	2	2	2.02
объясняет	61983	6023	2	2	2.02
маленьких	61983	6023	2	2	2.02
Откуда	61983	6023	2	2	2.02
Психолог	61983	6023	2	2	2.02
специалист	61983	6023	2	2	2.02
детско-родительским	61983	6023	2	2	2.02
насПочему	61983	6023	2	2	2.02
историяМиссия	61983	6023	2	2	2.02
ценностиКонтакты	61983	6023	2	2	2.02
послушные	61983	6023	2	2	2.02
Шидухи	61983	6023	2	2	2.02
Учеба	61983	6023	2	2	2.02
Zoom	61983	6023	2	2	2.02
Даф	61983	6023	2	2	2.02
аЙоми	61983	6023	2	2	2.02
Ежедневно	61983	6023	2	2	2.02
выстроить	61983	6023	2	2	2.02
вскоре	61983	6023	2	2	2.02
дал	61983	6023	2	2	2.02
Молитва	61983	6023	2	2	2.02
молитву	61983	6023	2	2	2.02
Ашер	61983	6023	2	2	2.02
Кушнир	61983	6023	2	2	2.02
Telegram-канал	61983	6023	2	2	2.02
Чек-лист	61983	6023	2	2	2.02
аквапарков	61983	6023	2	2	2.02
понравится	61983	6023	2	2	2.02
детях	61983	6023	10	4	1.99
программ	61983	6023	10	4	1.99
Более	61983	6023	10	4	1.99
школе	61983	6023	10	4	1.99
же	61983	6023	49	10	1.94
кто	61983	6023	16	5	1.91
Дети	61983	6023	73	13	1.89
развитие	61983	6023	50	10	1.89
всех	61983	6023	29	7	1.87
фонда	61983	6023	29	7	1.87
потребности	61983	6023	6	3	1.87
ежегодно	61983	6023	6	3	1.87
Специалистам	61983	6023	6	3	1.87
Онлайн	61983	6023	6	3	1.87
нуждаются	61983	6023	6	3	1.87
Тесты	61983	6023	6	3	1.87
самой	61983	6023	6	3	1.87
Согласно	61983	6023	6	3	1.87
путешествия	61983	6023	6	3	1.87
здоровья	61983	6023	36	8	1.86
раннего	61983	6023	11	4	1.84
